Ecotype,Max Height (cm)
Local,21
Local,27
Local,27.5
Local,28
Local,30.5
Local,33
Local,37
Local,37
Local,39
Local,40
Local,41
Local,42
Local,44
Local,44
Local,44.5
Local,45
Local,47
Local,47.5
Local,49
Local,49
Local,49.5
Local,50
Local,50.5
Local,50.5
Local,51.5
Local,52
Local,53
Local,53.5
Local,54
Local,54
Local,54
Local,54
Local,55
Local,55
Local,55.5
Local,56
Local,56
Local,56.5
Local,57
Local,57
Local,57.5
Local,58
Local,59
Local,60
Local,60
Local,61.5
Local,62
Local,62.5
Local,63
Local,63
Local,63.5
Local,64
Local,65
Local,65
Local,66.5
Local,67
Local,67.5
Local,68
Local,69
Local,69
Local,69
Local,69
Local,69.5
Local,70
Local,70.5
Local,71
Local,71
Local,71
Local,72
Local,72
Local,73
Local,73
Local,73
Local,73.5
Local,74
Local,75.5
Local,75.5
Local,75.5
Local,76
Local,78
Local,78
Local,79
Local,80.5
Local,82
Local,82
Local,82.5
Local,82.5
Local,88
Local,90
Local,91
Local,94.5
Local,96
Local,98.5
Southern,14
Southern,15.5
Southern,18
Southern,22
Southern,24
Southern,26
Southern,26
Southern,26.5
Southern,28
Southern,28
Southern,30
Southern,30
Southern,30
Southern,31
Southern,32
Southern,32
Southern,32.5
Southern,33
Southern,33
Southern,33
Southern,34
Southern,34.5
Southern,35
Southern,35
Southern,36
Southern,37
Southern,37
Southern,37
Southern,37
Southern,38
Southern,38
Southern,38
Southern,38
Southern,38.5
Southern,38.5
Southern,39
Southern,39
Southern,39
Southern,39
Southern,39
Southern,40.5
Southern,40.5
Southern,40.5
Southern,41
Southern,41
Southern,41
Southern,41.5
Southern,41.5
Southern,42
Southern,42
Southern,42
Southern,42.5
Southern,43
Southern,43
Southern,43
Southern,43
Southern,43.5
Southern,44
Southern,44
Southern,44
Southern,44
Southern,44.5
Southern,44.5
Southern,44.5
Southern,44.5
Southern,45
Southern,45
Southern,45
Southern,45
Southern,45
Southern,45
Southern,45
Southern,45
Southern,45.5
Southern,45.5
Southern,45.5
Southern,46
Southern,46
Southern,46
Southern,46
Southern,46.5
Southern,46.5
Southern,46.5
Southern,46.5
Southern,46.5
Southern,46.5
Southern,47
Southern,47
Southern,47
Southern,47
Southern,47
Southern,47
Southern,47
Southern,47
Southern,47.5
Southern,47.5
Southern,47.5
Southern,48
Southern,48
Southern,48
Southern,48
Southern,48.5
Southern,48.5
Southern,48.5
Southern,49
Southern,49.5
Southern,49.5
Southern,49.5
Southern,50
Southern,50
Southern,50
Southern,50
Southern,50.5
Southern,50.5
Southern,50.5
Southern,51
Southern,51
Southern,51
Southern,51
Southern,51
Southern,51
Southern,51
Southern,52
Southern,52
Southern,52
Southern,52
Southern,52
Southern,52
Southern,52
Southern,52.5
Southern,53
Southern,53
Southern,53
Southern,53
Southern,53.5
Southern,53.5
Southern,54
Southern,54
Southern,54
Southern,54
Southern,54
Southern,54
Southern,54
Southern,54.5
Southern,55
Southern,55
Southern,55
Southern,55
Southern,55.5
Southern,55.5
Southern,55.5
Southern,56
Southern,56
Southern,56
Southern,56
Southern,56
Southern,56
Southern,56
Southern,56
Southern,56
Southern,56.5
Southern,56.5
Southern,56.5
Southern,57
Southern,57
Southern,57.5
Southern,57.5
Southern,58
Southern,58
Southern,58.5
Southern,58.5
Southern,59
Southern,59
Southern,59
Southern,59.5
Southern,59.5
Southern,59.5
Southern,60
Southern,60.5
Southern,60.5
Southern,61
Southern,61
Southern,61
Southern,61
Southern,61
Southern,61
Southern,62
Southern,62
Southern,62
Southern,62.5
Southern,63
Southern,63
Southern,64
Southern,64
Southern,64
Southern,64
Southern,64
Southern,65
Southern,65
Southern,66
Southern,66
Southern,66
Southern,66
Southern,66.5
Southern,66.5
Southern,67
Southern,67
Southern,67
Southern,67
Southern,68
Southern,68
Southern,68
Southern,68.5
Southern,69.5
Southern,70.5
Southern,71
Southern,72
Southern,72
Southern,72.5
Southern,72.5
Southern,73
Southern,74
Southern,74
Southern,74.5
Southern,75
Southern,75
Southern,77.5
Southern,78
Southern,78
Southern,79
Southern,79
Southern,79.5
Southern,80.5
Southern,81.5
Southern,83.5
Southern,85.5
Southern,87
Southern,91
Southern,93.5
Southern,94.5
Southern,96.5
Southern,97
Southern,98
Southern,113
Southern,113.5
